SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Price,Total
1,17,10482,500,500,101.24,50620
2,5,1964,306,810,1120.49,907596.9
3,8,12300,123,123,177.6,21844.8
4,1,4182,437,437,24.99,10920.63
5,14,15723,246,750,1364.5,1023375
6,14,6000,60,60,152.4,9144
7,5,17541,373,373,69.99,26106.27
8,20,9423,183,687,306,210222
9,1,1,1,10,1.6,16
10,11,11241,310,310,34.2,10602
11,2,3023,119,623,88,54824
12,17,14664,433,937,24.99,23415.63
13,20,5241,250,250,1349.6,337400
14,8,16482,56,560,75.4,42224
15,22,8264,369,873,63.5,55435.5
16,3,18700,187,187,133.34,24934.58
17,17,10482,500,500,101.24,50620
18,5,1964,306,810,1120.49,907596.9
19,8,12300,123,123,177.6,21844.8
20,1,4182,437,437,24.99,10920.63
21,14,15723,246,750,1364.5,1023375
22,14,6000,60,60,152.4,9144
23,5,17541,373,373,69.99,26106.27
24,20,9423,183,687,306,210222
25,1,1,1,26,1.6,41.6
26,11,11241,310,310,34.2,10602
27,2,3023,119,623,88,54824
28,17,14664,433,937,24.99,23415.63
29,20,5241,250,250,1349.6,337400
30,15,19482,86,590,0,0
31,6,11264,399,903,121.46,109678.38
32,10,1941,217,217,8.99,1950.83
33,1,13482,26,530,0,0
34,12,4964,336,840,348.76,292958.4
35,15,15300,153,153,0,0
36,7,7182,467,467,742.35,346677.45
37,21,18723,276,780,3399.99,2651992.2
38,21,9000,90,90,0,0
39,12,782,403,403,333.42,134368.26
40,4,12423,213,717,34.99,25087.83
41,7,3000,30,30,418.8,12564
42,18,14241,340,340,594.83,202242.2
43,9,6023,149,653,564,368292
44,1,17664,463,967,742.35,717852.45
45,4,8241,280,280,3374.99,944997.2
46,15,19482,86,590,0,0
47,6,11264,399,903,121.46,109678.38
48,10,1941,217,217,8.99,1950.83
49,1,13482,26,530,0,0
50,12,4964,336,840,348.76,292958.4
51,15,15300,153,153,0,0
52,7,7182,467,467,742.35,346677.45
53,21,18723,276,780,3399.99,2651992.2
54,21,9000,90,90,0,0
55,12,782,403,403,333.42,134368.26
56,4,12423,213,717,34.99,25087.83
57,7,3000,30,30,418.8,12564
58,18,14241,340,340,594.83,202242.2
59,9,6023,149,653,564,368292
60,1,17664,463,967,742.35,717852.45
61,4,8241,280,280,3374.99,944997.2
62,15,19482,86,590,0,0
63,6,11264,399,903,121.46,109678.38
64,10,1941,217,217,8.99,1950.83
65,1,13482,26,530,0,0
66,12,4964,336,840,348.76,292958.4
67,15,15300,153,153,0,0
68,7,7182,467,467,742.35,346677.45
69,21,18723,276,780,3399.99,2651992.2
70,21,9000,90,90,0,0
71,12,782,403,403,333.42,134368.26
72,4,12423,213,717,34.99,25087.83
73,7,3000,30,30,418.8,12564
74,18,14241,340,340,594.83,202242.2
75,9,6023,149,653,564,368292
76,1,17664,463,967,742.35,717852.45
77,4,8241,280,280,3374.99,944997.2
78,15,19482,86,590,0,0
79,6,11264,399,903,121.46,109678.38
80,10,1941,217,217,8.99,1950.83
81,8,16482,56,560,75.4,42224
82,22,8264,369,873,63.5,55435.5
83,3,18700,187,187,133.34,24934.58
84,17,10482,500,500,101.24,50620
85,5,1964,306,810,1120.49,907596.9
86,8,12300,123,123,177.6,21844.8
87,1,4182,437,437,24.99,10920.63
88,14,15723,246,750,1364.5,1023375
89,14,6000,60,60,152.4,9144
90,22,19241,390,390,1003.91,391524.9
91,10,10723,196,700,418.4,292880
92,13,1300,13,13,64.8,842.4
93,5,12941,327,327,594.83,194509.41
